subjID,wave,date,ph1,sm1_1,sm1_5,sm1_9,ax1_1,ax1_2,ax1_3,ax1_4,ax1_5,ax1_6,ax1_7,ax1_8,ax1_9,ax1_10,bf1,bf2,bf3_1,bf3_3,bf3_4,bf3_5,bf3_6,bf4,bf5,pm2,pm3,pm3a,pm4,pm5,pm7,pm7b,pm10_1,pm10_2,pm10_3,pm10_5,pm10_6,sex,age_gp,edu,wtageSG1
31,1,20090429,1,2,2,2,3,4,4,3,4,2,1,1,1,1,3,3,1,1,1,1,1,3,2,1,3,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,1,7,0.897544476
32,1,20090429,3,2,2,2,2,1,2,2,2,1,1,1,1,1,3,3,1,1,1,1,2,5,5,1,2,NA,3,4,4,NA,NA,NA,NA,NA,NA,2,4,7,0.607403236
33,1,20090429,1,2,2,2,1,2,4,3,1,3,2,1,2,2,3,1,1,2,2,1,2,5,2,1,1,NA,2,3,4,NA,NA,NA,NA,NA,NA,2,5,2,0.511206068
34,1,20090429,2,2,2,2,3,4,3,4,4,1,1,1,2,1,2,4,1,2,1,2,2,5,5,1,1,NA,1,4,2,NA,NA,NA,NA,NA,NA,2,4,4,0.607403236
35,1,20090429,2,2,2,2,3,4,4,4,3,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,2,NA,4,4,2,NA,NA,NA,NA,NA,NA,2,4,3,0.607403236
36,1,20090429,1,NA,2,2,3,3,3,3,2,1,1,1,1,1,4,2,1,1,1,1,1,4,2,1,1,NA,4,4,3,NA,NA,NA,NA,NA,NA,1,4,5,1.286363716
37,1,20090429,3,2,2,2,2,2,2,2,2,2,1,1,2,1,3,4,1,1,1,1,1,4,3,2,4,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,2,5,1.439584917
38,1,20090429,1,2,2,1,3,3,3,2,2,1,2,1,1,1,4,3,1,2,1,1,2,1,3,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,3,0.607403236
39,1,20090429,2,2,2,2,3,4,4,4,3,1,1,1,1,1,NA,1,1,2,1,2,2,3,3,1,1,NA,1,1,4,NA,NA,NA,NA,NA,NA,2,4,4,0.607403236
40,1,20090429,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,1,NA,NA,NA,NA,3,4,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,5,2,0.511206068
